email,password,name,birthday,gender,mobile,address,marital_status,startwork_date,endwork_date,is_employee,company,employee_type_id,team_id,role_id,delete_flag
z1@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z2@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z3@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z1@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z2@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z3@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z1@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z2@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z3@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z1@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z2@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z3@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z1@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z2@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
z3@o.xom,123123,123123,30-04-2016,1,12312312312,12312312312,2,20-04-2018,30-04-2018,1,a,1,1,1,0
